busID,longitude,latitude
1,-72.057,41.005
2,-72.297,41.298
3,-72.01,41.478
4,-71.798,41.275
5,-72.078,41.76
6,-71.616,41.969
7,-71.249,42.206
8,-71.672,42.189
9,-72.039,42.088
10,-71.089,41.648
11,-71.455,41.507
12,-71.129,41.975
13,-70.49,41.71
14,-70.163,41.721
15,-70.723,42.229
16,-72.479,42.81
17,-71.442,42.826
18,-71.298,42.528
19,-70.589,43.114
20,-69.833,43.864
21,-72.404,41.005
22,-70.881,41.411
23,-71.343,41.349
24,-70.538,41.467
25,-70.187,41.399
26,-69.506,43.893
27,-72.91,43.001
28,-72.199,42.465
29,-72.726,42.482
30,-72.582,42.178
31,-72.581,41.839
32,-72.772,41.619
33,-72.556,41.371
34,-72.987,41.304
35,-73.187,41.563
36,-72.643,41.174
37,-73.923,42.494
38,-74.88,42.336
39,-74.001,42.042
40,-74.066,42.646
41,-73.78,43.086
42,-73.628,42.702
43,-75.24,42.894
44,-75.136,43.013
45,-75.24,43.131
46,-75.051,44.428
47,-75.211,44.654
48,-74.821,44.846
49,-74.134,44.699
50,-76.333,43.306
51,-76.261,42.939
52,-77.482,43.312
53,-77.777,42.889
54,-78.352,43.125
55,-78.591,42.996
56,-78.743,43.312
57,-79.125,42.911
58,-79.133,42.714
59,-78.797,42.561
60,-79.315,42.33
61,-78.828,42.234
62,-78.255,42.708
63,-77.824,42.42
64,-77.592,42.409
65,-76.978,42.629
66,-76.203,41.862
67,-77.041,41.952
68,-76.714,42.15
69,-75.397,42.009
70,-75.988,42.014
71,-75.789,42.33
72,-76.093,42.635
73,-73.641,41.58
74,-73.769,41.304
75,-74.861,41.078
76,-74.311,41.174
77,-74.12,41.36
78,-73.424,40.773
79,-73.264,40.379
80,-73.145,40.852
81,-73.775,40.491
82,-73.783,40.745
83,-82.905,42.11
84,-83.24,41.975
85,-82.443,42.544
86,-82.476,42.81
87,-82.61,42.437
88,-81.917,42.81
89,-82.205,42.911
90,-82.468,43.255
91,-79.406,43.876
92,-81.095,46.482
93,-79.639,44.733
94,-80.101,44
95,-78.102,46.087
96,-79.523,46.194
97,-81.349,46.199
98,-75.953,44.637
99,-75.372,44.976
100,-74.853,45.066
101,-79.843,42.917
102,-79.349,43.266
103,-79.317,43.069
104,-80.019,43.148
105,-81.486,42.731
106,-80.921,43.137
107,-80.793,42.99
108,-79.781,43.706
109,-79.94,43.34
110,-79.644,43.103
111,-80.754,43.52
112,-81.565,42.206
113,-82.123,42.003
114,-82.763,42.911
115,-82.77,42.629
116,-82.921,42.324
117,-83.488,42.573
118,-83.495,42.127
119,-83.633,43.109
120,-85.755,43.199
121,-83.145,42.494
122,-83.201,42.319
123,-83.502,41.619
124,-74.709,40.627
125,-74.301,40.486
126,-74.047,40.892
127,-75.706,40.779
128,-75.202,40.136
129,-75.68,39.837
130,-76.079,39.91
131,-76.518,39.961
132,-77.389,40.638
133,-79.096,40.435
134,-78.826,41.072
135,-79.408,40.785
136,-80.295,41.665
137,-79.953,42.133
138,-76.266,41.715
139,-82.212,38.94
140,-79.283,41.952
