lineIdx,busIdx,busArea,busName,busXcoord,busYcoord,order
Line_1,1,1,MILLSTONE PT,-72.057,41.005,1
Line_208,3,1,MONTVILLE,-72.01,41.478,1
Line_2,1,1,MILLSTONE PT,-72.057,41.005,1
Line_209,3,1,MONTVILLE,-72.01,41.478,1
Line_4,4,1,MONTVILLE,-71.798,41.275,1
Line_5,5,1,CARD ST,-72.078,41.76,1
Line_7,6,1,SHERMAN RD,-71.616,41.969,1
Line_8,7,1,MEDWAY,-71.249,42.206,1
Line_12,8,1,MILLBURY,-71.672,42.189,1
Line_9,7,1,MEDWAY,-71.249,42.206,1
Line_210,10,1,BRAYTON PT,-71.089,41.648,1
Line_10,7,1,MEDWAY,-71.249,42.206,1
Line_15,12,1,BRIDGEWATER,-71.129,41.975,1
Line_16,13,1,PILGRIM,-70.49,41.71,1
Line_11,7,1,MEDWAY,-71.249,42.206,1
Line_17,14,1,CANAL,-70.163,41.721,1
Line_18,16,1,VERMONT YNK,-72.479,42.81,1
Line_13,8,1,MILLBURY,-71.672,42.189,1
Line_20,17,1,SCOBIE,-71.442,42.826,1
Line_21,17,1,SCOBIE,-71.442,42.826,1
Line_22,17,1,SCOBIE,-71.442,42.826,1
Line_23,19,1,POWNAL,-70.589,43.114,1
Line_207,1,1,MILLSTONE PT,-72.057,41.005,1
Line_211,10,1,BRAYTON PT,-71.089,41.648,1
Line_212,11,1,BRAYTON PT,-71.455,41.507,1
Line_213,13,1,PILGRIM,-70.49,41.71,1
Line_214,14,1,CANAL,-70.163,41.721,1
Line_216,20,1,MAINE YANKEE,-69.833,43.864,1
Line_215,16,1,VERMONT YNK,-72.479,42.81,1
Line_19,16,1,VERMONT YNK,-72.479,42.81,1
Line_217,28,1,NORTHFIELD,-72.199,42.465,1
Line_14,9,1,CARPENTER HL,-72.039,42.088,1
Line_24,29,1,NORTHFIELD,-72.726,42.482,1
Line_6,5,1,CARD ST,-72.078,41.76,1
Line_26,30,1,LUDLOW,-72.582,42.178,1
Line_27,31,1,MANCHESTER,-72.581,41.839,1
Line_3,2,1,MONTVILLE,-72.297,41.298,1
Line_28,32,1,SCOVILL ROCK,-72.772,41.619,1
Line_30,33,1,HADDAM NECK,-72.556,41.371,1
Line_29,32,1,SCOVILL ROCK,-72.772,41.619,1
Line_31,34,1,BLACK POND,-72.987,41.304,1
Line_218,33,1,HADDAM NECK,-72.556,41.371,1
