Generator Name,PTID,Subzone,Zone,Latitude,Longitude,ZoneID
59TH STREET_GT_1,24138,CON ED NY CITY,N.Y.C.,40.76612,-73.99611,J
74TH STREET_GT_1,24260,CON ED NY CITY,N.Y.C.,40.763619,-73.943008,J
74TH STREET_GT_2,24261,CON ED NY CITY,N.Y.C.,40.763619,-73.943008,J
ADK HUDSON___FALLS,24011,NMPC CAPITAL,CAPITL,43.290067,-73.606067,F
ADK RESOURCE___RCVRY,23798,NMPC CAPITAL,CAPITL,43.306154,-73.591954,F
ADK S GLENS___FALLS,24028,NMPC CAPITAL,CAPITL,43.290067,-73.606067,F
ADK_NYS___DAM,23527,NMPC CAPITAL,CAPITL,42.912214,-73.357291,F
AIR_PRODUCTS___DRP,24190,NMPC CAPITAL,CAPITL,42.661491,-73.739644,F
ALBANY___1,23571,NMPC CAPITAL,CAPITL,42.661491,-73.739644,F
ALBANY___2,23572,NMPC CAPITAL,CAPITL,42.661491,-73.739644,F
ALBANY___3,23573,NMPC CAPITAL,CAPITL,42.661491,-73.739644,F
ALBANY___4,23574,NMPC CAPITAL,CAPITL,42.661491,-73.739644,F
ALBANY___LFGE,323615,NMPC CAPITAL,CAPITL,42.691041,-73.803149,F
ALCOA___DSASP,323711,NYPA NORTH,NORTH,44.954452,-74.893775,D
ALCOA_RYNLDS___DRP,24188,NYPA NORTH,NORTH,44.939156,-74.875032,D
ALLEGHENY___COGEN,23514,RG&E GENESEE,GENESE,42.391981,-78.155403,B
ALTONA_WT_PWR,323606,NYPA NORTH,NORTH,44.831624,-73.636424,D
AMERICAN_REF_FUEL,24010,NMPC WEST,WEST,43.09846,-79.007149,A
ARKWRIGHT___SUMMIT_WT_PWR,323751,NMPC WEST,WEST,42.336631,-79.323597,A
ARTHUR_KILL_2,23512,CON ED NY CITY,N.Y.C.,40.589204,-74.197028,J
ARTHUR_KILL_3,23513,CON ED NY CITY,N.Y.C.,40.589204,-74.197028,J
ARTHUR_KILL_COGEN,323718,CON ED NY CITY,N.Y.C.,40.589204,-74.197028,J
ARTHUR KILL_GT_1,23520,CON ED NY CITY,N.Y.C.,40.589204,-74.197028,J
ASHOKAN____,23654,CENT HUD HUDSON VLY,HUD VL,42.031073,-74.106742,G
ASTORIA_EAST_ENERGY_CC1,323581,CON ED NY CITY,N.Y.C.,40.787176,-73.907032,J
ASTORIA_EAST_ENERGY_CC2,323582,CON ED NY CITY,N.Y.C.,40.787176,-73.907032,J
ASTORIA_GT_1,23523,CON ED NY CITY,N.Y.C.,40.787725,-73.909326,J
ASTORIA_GT_10,24110,CON ED NY CITY,N.Y.C.,40.787725,-73.908745,J
ASTORIA_GT_11,24225,CON ED NY CITY,N.Y.C.,40.787725,-73.908745,J
ASTORIA_GT_12,24226,CON ED NY CITY,N.Y.C.,40.787725,-73.908745,J
ASTORIA_GT_13,24227,CON ED NY CITY,N.Y.C.,40.787725,-73.908745,J
ASTORIA_GT_5,24106,CON ED NY CITY,N.Y.C.,40.787725,-73.909326,J
ASTORIA_GT_7,24107,CON ED NY CITY,N.Y.C.,40.787725,-73.909326,J
ASTORIA_GT_8,24108,CON ED NY CITY,N.Y.C.,40.787725,-73.909326,J
ASTORIA_GT2_1,24094,CON ED NY CITY,N.Y.C.,40.787725,-73.909326,J
ASTORIA_GT2_2,24095,CON ED NY CITY,N.Y.C.,40.787725,-73.909326,J
ASTORIA_GT2_3,24096,CON ED NY CITY,N.Y.C.,40.787725,-73.909326,J
ASTORIA_GT2_4,24097,CON ED NY CITY,N.Y.C.,40.787725,-73.909326,J
ASTORIA_GT3_1,24098,CON ED NY CITY,N.Y.C.,40.787725,-73.909326,J
ASTORIA_GT3_2,24099,CON ED NY CITY,N.Y.C.,40.787725,-73.909326,J
ASTORIA_GT3_3,24100,CON ED NY CITY,N.Y.C.,40.787725,-73.909326,J
ASTORIA_GT3_4,24101,CON ED NY CITY,N.Y.C.,40.787725,-73.909326,J
ASTORIA_GT4_1,24102,CON ED NY CITY,N.Y.C.,40.787725,-73.909326,J
ASTORIA_GT4_2,24103,CON ED NY CITY,N.Y.C.,40.787725,-73.909326,J
ASTORIA_GT4_3,24104,CON ED NY CITY,N.Y.C.,40.787725,-73.909326,J
ASTORIA_GT4_4,24105,CON ED NY CITY,N.Y.C.,40.787725,-73.909326,J
ASTORIA___2,24149,CON ED NY CITY,N.Y.C.,40.787174,-73.908745,J
ASTORIA___3,23516,CON ED NY CITY,N.Y.C.,40.787174,-73.908745,J
ASTORIA___4,23517,CON ED NY CITY,N.Y.C.,40.787174,-73.908745,J
ASTORIA___5,23518,CON ED NY CITY,N.Y.C.,40.787174,-73.908745,J
AST_ENERGY_2_CC3,323677,CON ED NY CITY,N.Y.C.,40.78719,-73.9071,J
AST_ENERGY_2_CC4,323678,CON ED NY CITY,N.Y.C.,40.78719,-73.9071,J
ATHENS_STG_1,23668,NMPC CAPITAL,CAPITL,42.271224,-73.850326,F
ATHENS_STG_2,23670,NMPC CAPITAL,CAPITL,42.271224,-73.850326,F
ATHENS_STG_3,23677,NMPC CAPITAL,CAPITL,42.271224,-73.850326,F
AUBURN___LFGE,323710,NYSEG CENTRAL,CENTRL,42.953704,-76.573474,C
BABYLON_RES_REC,323704,LIPA LONG ISLAND,LONGIL,40.73589,-73.387823,K
BARRETT_IC_1,23704,LIPA LONG ISLAND,LONGIL,40.61822,-73.648205,K
