idx,u,name_npccL,bus1_idx,bus2_idx,Sn,fn,Vn1,Vn2,r,x,b,g,b1,g1,b2,g2,trans,tap,phi,bus1_name,bus1_area,bus1_xcoor,bus1_ycoor,bus1_zone,bus2_name,bus2_area,bus2_xcoor,bus2_ycoor,bus2_zone,voltageCla
Line_25,"1",Line_25,"29","37","100","60",345.000000000000000,345.000000000000000,0.003500000000000,0.041100000000000,0.700000000000000,"0","0","0","0","0","0","1","0",NORTHFIELD,"1",-72.725999999999999,42.481999999999999,"1",NEW SEATHED,"2",-73.923000000000002,42.494000000000000,"1","345"
Line_33,"1",Line_33,"37","38","100","60",345.000000000000000,345.000000000000000,0.001600000000000,0.016300000000000,0.250000000000000,"0","0","0","0","0","0","1","0",NEW SEATHED,"2",-73.923000000000002,42.494000000000000,"1",GILBOA,"2",-74.879999999999995,42.335999999999999,"1","345"
Line_34,"1",Line_34,"37","39","100","60",345.000000000000000,345.000000000000000,0.000800000000000,0.007400000000000,0.480000000000000,"0","0","0","0","0","0","1","0",NEW SEATHED,"2",-73.923000000000002,42.494000000000000,"1",LEEDS,"2",-74.001000000000005,42.042000000000002,"1","345"
Line_35,"1",Line_35,"37","40","100","60",345.000000000000000,230.000000000000000,0.000900000000000,0.031500000000000,0.060000000000000,"0","0","0","0","0","0","1","0",NEW SEATHED,"2",-73.923000000000002,42.494000000000000,"1",NEW SEATHED,"2",-74.066000000000003,42.646000000000001,"1","345"
Line_36,"1",Line_36,"37","43","100","60",345.000000000000000,345.000000000000000,0.001300000000000,0.018800000000000,1.310000000000000,"0","0","0","0","0","0","1","0",NEW SEATHED,"2",-73.923000000000002,42.494000000000000,"1",EDIC,"2",-75.239999999999995,42.893999999999998,"1","345"
Line_37,"1",Line_37,"38","69","100","60",345.000000000000000,345.000000000000000,0.004300000000000,0.048500000000000,0.790000000000000,"0","0","0","0","0","0","1","0",GILBOA,"2",-74.879999999999995,42.335999999999999,"1",BINGHAMTON,"2",-75.397000000000006,42.009000000000000,"1","345"
Line_38,"1",Line_38,"39","73","100","60",345.000000000000000,345.000000000000000,0.001900000000000,0.018300000000000,0.290000000000000,"0","0","0","0","0","0","1","0",LEEDS,"2",-74.001000000000005,42.042000000000002,"1",PLEASANT VLY,"3",-73.641000000000005,41.579999999999998,"1","345"
Line_39,"1",Line_39,"39","73","100","60",345.000000000000000,345.000000000000000,0.001900000000000,0.018300000000000,0.290000000000000,"0","0","0","0","0","0","1","0",LEEDS,"2",-74.001000000000005,42.042000000000002,"1",PLEASANT VLY,"3",-73.641000000000005,41.579999999999998,"1","345"
Line_219,"1",Line_219,"40","41","100","60",230.000000000000000,115.000000000000000,0.000000000000000,0.016100000000000,0.000000000000000,"0","0","0","0","0","1","1","0",NEW SEATHED,"2",-74.066000000000003,42.646000000000001,"1",ROTTERDAM,"2",-73.780000000000001,43.085999999999999,"1",220/230
Line_40,"1",Line_40,"40","44","100","60",230.000000000000000,230.000000000000000,0.008000000000000,0.053000000000000,0.400000000000000,"0","0","0","0","0","0","1","0",NEW SEATHED,"2",-74.066000000000003,42.646000000000001,"1",PORTER,"2",-75.135999999999996,43.012999999999998,"1",220/230
