NYISOname,PTID,Zone,UnitType,DualFuel,FuelTypepr,FuelTypese,NamePlateR,NetEnergyG,Latitude,Longitude,HubName,HubDist
Arthur Kill ST 2,23512,J,Steam Turbine (Fossile),No,Natural Gas,<undefined>,376.2,454.4,40.589204,-74.197028,82,39050.49465
Arthur Kill ST 3,23513,J,Steam Turbine (Fossile),No,Natural Gas,<undefined>,535.5,534.3,40.589204,-74.197028,82,39050.49465
Allegany,23514,B,Combined Cycle,No,Natural Gas,<undefined>,67,35.7,42.391981,-78.155403,53,63336.08124
Brooklyn Navy Yard,23515,J,Combined Cycle,YES,Natural Gas,Fuel Oil,322,1964.7,40.703833,-73.981228,82,17359.96017
Astoria 3,23516,J,Steam Turbine (Fossile),YES,Fuel Oil,Natural Gas,376,307.3,40.787174,-73.908745,82,11603.98976
Astoria 5,23518,J,Steam Turbine (Fossile),YES,Fuel Oil,Natural Gas,387,757.8,40.787174,-73.908745,82,11603.98976
Arthur Kill GT 1,23520,J,Combustion Turbine,No,Natural Gas,<undefined>,20,1,40.589204,-74.197028,82,39050.49465
Wading River 1,23522,K,Combustion Turbine,No,Fuel Oil,<undefined>,79.5,4.2,40.956178,-72.877412,80,25341.16927
Astoria GT 01,23523,J,Combustion Turbine,No,Natural Gas,<undefined>,16,1,40.787725,-73.909326,82,11673.58343
East River 7,23524,J,Steam Turbine (Fossile),YES,Natural Gas,Fuel Oil,200,209.6,40.727823,-73.974959,82,16326.48409
Bowline 1,23526,G,Steam Turbine (Fossile),YES,Natural Gas,Fuel Oil,621,238.4,41.204688,-73.979414,82,53659.89309
Ravenswood ST 01,23533,J,Steam Turbine (Fossile),YES,Fuel Oil,Natural Gas,400,598.7,40.758433,-73.947041,82,13933.3614
Ravenswood ST 02,23534,J,Steam Turbine (Fossile),YES,Fuel Oil,Natural Gas,400,579,40.758433,-73.947041,82,13933.3614
Ravenswood ST 03,23535,J,Steam Turbine (Fossile),YES,Fuel Oil,Natural Gas,1027,797.2,40.763619,-73.943008,82,13669.44428
Somerset,23543,A,Steam Turbine (Fossile),No,Coal,<undefined>,655.1,593,43.352724,-78.609027,56,11769.59018
Barrett ST 01,23545,K,Steam Turbine (Fossile),YES,Natural Gas,Fuel Oil,188,566.9,40.61822,-73.648205,82,18112.50702
Barrett ST 02,23546,K,Steam Turbine (Fossile),YES,Natural Gas,Fuel Oil,188,721.4,40.61822,-73.648205,82,18112.50702
Wading River 2,23547,K,Combustion Turbine,No,Fuel Oil,<undefined>,79.5,1.3,40.956178,-72.877412,80,25341.16927
Northport 1,23551,K,Steam Turbine (Fossile),YES,Natural Gas,Fuel Oil,387,340.3,40.88294,-73.292579,80,12907.15266
Northport 2,23552,K,Steam Turbine (Fossile),YES,Natural Gas,Fuel Oil,387,665.4,40.88294,-73.292579,80,12907.15266
Northport 3,23553,K,Steam Turbine (Fossile),YES,Natural Gas,Fuel Oil,387,932.1,40.88294,-73.292579,80,12907.15266
Port Jefferson 3,23555,K,Steam Turbine (Fossile),YES,Fuel Oil,Natural Gas,188,172.7,40.948399,-73.082874,80,11916.67601
Greenidge 4,23583,C,Steam Turbine (Fossile),No,Natural Gas,Wood,112.5,202.4,42.678924,-76.951213,65,5964.976728
Cayuga 1,23584,C,Steam Turbine (Fossile),No,Coal,<undefined>,155.3,81.6,42.602627,-76.6329,65,28465.61045
Cayuga 2  (IIFO - 7/1/18),23585,C,Steam Turbine (Fossile),No,Coal,<undefined>,167.2,17.4,42.602627,-76.6329,65,28465.61045
Danskammer 1,23586,G,Steam Turbine (Fossile),YES,Natural Gas,Fuel Oil,72,2.7,41.563587,-73.954582,82,92043.44316
Roseton 1,23587,G,Steam Turbine (Fossile),YES,Fuel Oil,Natural Gas,621,264.8,41.574939,-73.97868,82,93622.27624
