Eastern Date Hour,Zone Name,DAM Forecast Load,GMT Start Hour
1/1/2019 0:00,CAPITL,1137,5
1/1/2019 0:00,CENTRL,1489,5
1/1/2019 0:00,DUNWOD,550,5
1/1/2019 0:00,GENESE,912,5
1/1/2019 0:00,HUD VL,915,5
1/1/2019 0:00,LONGIL,1988,5
1/1/2019 0:00,MHK VL,631,5
1/1/2019 0:00,MILLWD,267,5
1/1/2019 0:00,N.Y.C.,4837,5
1/1/2019 0:00,NORTH,607,5
1/1/2019 0:00,WEST,1525,5
1/1/2019 1:00,CAPITL,1092,6
1/1/2019 1:00,CENTRL,1430,6
1/1/2019 1:00,DUNWOD,519,6
1/1/2019 1:00,GENESE,872,6
1/1/2019 1:00,HUD VL,865,6
1/1/2019 1:00,LONGIL,1852,6
1/1/2019 1:00,MHK VL,597,6
1/1/2019 1:00,MILLWD,255,6
1/1/2019 1:00,N.Y.C.,4670,6
1/1/2019 1:00,NORTH,600,6
1/1/2019 1:00,WEST,1464,6
1/1/2019 2:00,CAPITL,1058,7
1/1/2019 2:00,CENTRL,1380,7
1/1/2019 2:00,DUNWOD,498,7
1/1/2019 2:00,GENESE,841,7
1/1/2019 2:00,HUD VL,829,7
1/1/2019 2:00,LONGIL,1745,7
1/1/2019 2:00,MHK VL,574,7
1/1/2019 2:00,MILLWD,247,7
1/1/2019 2:00,N.Y.C.,4507,7
1/1/2019 2:00,NORTH,593,7
1/1/2019 2:00,WEST,1419,7
1/1/2019 3:00,CAPITL,1041,8
1/1/2019 3:00,CENTRL,1361,8
1/1/2019 3:00,DUNWOD,480,8
1/1/2019 3:00,GENESE,826,8
1/1/2019 3:00,HUD VL,812,8
1/1/2019 3:00,LONGIL,1672,8
1/1/2019 3:00,MHK VL,565,8
1/1/2019 3:00,MILLWD,235,8
1/1/2019 3:00,N.Y.C.,4374,8
1/1/2019 3:00,NORTH,590,8
1/1/2019 3:00,WEST,1400,8
1/1/2019 4:00,CAPITL,1035,9
1/1/2019 4:00,CENTRL,1360,9
1/1/2019 4:00,DUNWOD,473,9
1/1/2019 4:00,GENESE,827,9
1/1/2019 4:00,HUD VL,807,9
1/1/2019 4:00,LONGIL,1641,9
1/1/2019 4:00,MHK VL,567,9
1/1/2019 4:00,MILLWD,229,9
1/1/2019 4:00,N.Y.C.,4303,9
1/1/2019 4:00,NORTH,592,9
1/1/2019 4:00,WEST,1396,9
1/1/2019 5:00,CAPITL,1046,10
1/1/2019 5:00,CENTRL,1381,10
1/1/2019 5:00,DUNWOD,477,10
1/1/2019 5:00,GENESE,843,10
1/1/2019 5:00,HUD VL,815,10
1/1/2019 5:00,LONGIL,1646,10
1/1/2019 5:00,MHK VL,576,10
1/1/2019 5:00,MILLWD,229,10
1/1/2019 5:00,N.Y.C.,4321,10
1/1/2019 5:00,NORTH,599,10
1/1/2019 5:00,WEST,1412,10
1/1/2019 6:00,CAPITL,1073,11
1/1/2019 6:00,CENTRL,1424,11
1/1/2019 6:00,DUNWOD,487,11
1/1/2019 6:00,GENESE,868,11
1/1/2019 6:00,HUD VL,832,11
1/1/2019 6:00,LONGIL,1677,11
1/1/2019 6:00,MHK VL,605,11
1/1/2019 6:00,MILLWD,236,11
1/1/2019 6:00,N.Y.C.,4427,11
1/1/2019 6:00,NORTH,609,11
1/1/2019 6:00,WEST,1452,11
1/1/2019 7:00,CAPITL,1100,12
1/1/2019 7:00,CENTRL,1475,12
1/1/2019 7:00,DUNWOD,492,12
1/1/2019 7:00,GENESE,897,12
1/1/2019 7:00,HUD VL,849,12
1/1/2019 7:00,LONGIL,1684,12
1/1/2019 7:00,MHK VL,626,12
1/1/2019 7:00,MILLWD,245,12
1/1/2019 7:00,N.Y.C.,4503,12
1/1/2019 7:00,NORTH,616,12
1/1/2019 7:00,WEST,1486,12
1/1/2019 8:00,CAPITL,1146,13
1/1/2019 8:00,CENTRL,1522,13
1/1/2019 8:00,DUNWOD,504,13
1/1/2019 8:00,GENESE,921,13
1/1/2019 8:00,HUD VL,881,13
1/1/2019 8:00,LONGIL,1722,13
1/1/2019 8:00,MHK VL,657,13
1/1/2019 8:00,MILLWD,255,13
1/1/2019 8:00,N.Y.C.,4610,13
1/1/2019 8:00,NORTH,629,13
1/1/2019 8:00,WEST,1499,13
1/1/2019 9:00,CAPITL,1206,14
1/1/2019 9:00,CENTRL,1586,14
1/1/2019 9:00,DUNWOD,528,14
1/1/2019 9:00,GENESE,964,14
1/1/2019 9:00,HUD VL,924,14
1/1/2019 9:00,LONGIL,1805,14
1/1/2019 9:00,MHK VL,697,14
1/1/2019 9:00,MILLWD,266,14
1/1/2019 9:00,N.Y.C.,4735,14
1/1/2019 9:00,NORTH,639,14
1/1/2019 9:00,WEST,1554,14
1/1/2019 10:00,CAPITL,1251,15
1/1/2019 10:00,CENTRL,1646,15
1/1/2019 10:00,DUNWOD,555,15
1/1/2019 10:00,GENESE,1001,15
1/1/2019 10:00,HUD VL,966,15
1/1/2019 10:00,LONGIL,1893,15
1/1/2019 10:00,MHK VL,732,15
1/1/2019 10:00,MILLWD,273,15
1/1/2019 10:00,N.Y.C.,4862,15
1/1/2019 10:00,NORTH,643,15
1/1/2019 10:00,WEST,1607,15
1/1/2019 11:00,CAPITL,1280,16
1/1/2019 11:00,CENTRL,1692,16
