NYISOName,PTID,UnitType,FuelType,Zone,NamePlateRatingMW,maxPower,minPower,maxRampAgc,maxRamp10,maxRamp30,maxRamp60,HeatRateLM_1,HeatRateLM_2,HeatRateLMR2
"Arthur Kill ST 2",23512,Steam Turbine,Natural Gas,J,376.2,349,96,2.85,28.5,85.5,171,251.263112851403,8.65412318896438,0.996140559594236
"Arthur Kill ST 3",23513,Steam Turbine,Natural Gas,J,535.5,539,1,3.10833333333333,31.0833333333333,93.25,186.5,383.996016265124,8.68808340821397,0.985478146327669
"Allegany",23514,Combined Cycle,Natural Gas,B,67,66,13,0.541666666666667,5.41666666666667,16.25,32.5,56.5557270303053,6.7426811644242,0.811380569919747
"Brooklyn Navy Yard",23515,Combined Cycle,Natural Gas,J,322,240,115,1.59166666666667,15.9166666666667,47.75,95.5,223.80789252022,10.2874648274776,0.964558236894403
"Astoria 3",23516,Steam Turbine,Fuel Oil,J,376,756,162,6.03333333333333,60.3333333333333,181,362,251.915458139702,4.50463614191795,0.997412659812148
"Astoria 5",23518,Steam Turbine,Fuel Oil,J,387,776,164,6.46666666666667,64.6666666666667,194,388,273.336491925867,4.39443257111512,0.984962915855474
"Wading River 1",23522,Combustion Turbine,Fuel Oil,K,79.5,102,11.5,1.18333333333333,11.8333333333333,35.5,71,15.9554796599624,12.4970665511006,0.94721818715491
"Bowline 1",23526,Steam Turbine,Natural Gas,G,621,621,96,5.24166666666667,52.4166666666667,157.25,314.5,691.513147285294,8.28272077104178,0.987207375408792
"Ravenswood ST 01",23533,Steam Turbine,Fuel Oil,J,400,380,2,2.75,27.5,82.5,165,230.515439739464,8.94948519698996,0.989740523767275
"Ravenswood ST 02",23534,Steam Turbine,Fuel Oil,J,400,1000,4,7.85,78.5,235.5,471,584.337761334885,9.05976096861761,0.992012646396131
"Ravenswood ST 03",23535,Steam Turbine,Fuel Oil,J,1027,392,83,2.78333333333333,27.8333333333333,83.5,167,217.576147923814,8.97826700020151,0.996071681416528
"Somerset",23543,Steam Turbine,Coal,A,655.1,731,173,5.39166666666667,53.9166666666667,161.75,323.5,611.199720914661,7.56411789056167,0.993882016742659
"Barrett ST 01",23545,Steam Turbine,Natural Gas,K,188,209,63,1.49166666666667,14.9166666666667,44.75,89.5,74.3029337813657,10.0009836402258,0.996203132148456
"Barrett ST 02",23546,Steam Turbine,Natural Gas,K,188,201,63,1.425,14.25,42.75,85.5,52.3427653810606,9.83078695818046,0.994618454052855
"Wading River 2",23547,Combustion Turbine,Fuel Oil,K,79.5,94,9.3,0.925,9.25,27.75,55.5,-34.7712915275003,13.4090797396788,0.977651901731687
"Northport 1",23551,Steam Turbine,Natural Gas,K,387,410,109,2.91666666666667,29.1666666666667,87.5,175,171.423992136943,9.3157347852163,0.994754920484924
"Northport 2",23552,Steam Turbine,Natural Gas,K,387,410,111,2.575,25.75,77.25,154.5,195.890562876352,9.75755653210778,0.992850522669432
"Northport 3",23553,Steam Turbine,Natural Gas,K,387,411,110,2.575,25.75,77.25,154.5,174.941110463539,9.329919909501,0.996312604784078
"Port Jefferson 3",23555,Steam Turbine,Fuel Oil,K,188,201,46,1.425,14.25,42.75,85.5,63.9595189647331,9.63740737306526,0.864469335485952
"Greenidge 4",23583,Steam Turbine,Natural Gas,C,112.5,113,36,0.875,8.75,26.25,52.5,43.4925453477212,10.2988277447516,0.905179582473891
"Cayuga 1",23584,Steam Turbine,Coal,C,155.3,166,60,1.175,11.75,35.25,70.5,112.210668243682,9.30821100550101,0.994831412020421
"Danskammer 1",23586,Steam Turbine,Natural Gas,G,72,74,15,0.65,6.5,19.5,39,48.2785297185079,12.5953981874093,0.910524248032824
"Roseton 1",23587,Steam Turbine,Fuel Oil,G,621,622,88.2,3.88333333333333,38.8333333333333,116.5,233,316.229631154472,9.10162993480172,0.994366983273887
"Roseton 2",23588,Steam Turbine,Fuel Oil,G,621,635,82.9,4.19166666666667,41.9166666666667,125.75,251.5,451.988313907379,8.41761694282941,0.938957493179097
"Danskammer 2",23589,Steam Turbine,Natural Gas,G,73.5,70,25,0.558333333333333,5.58333333333333,16.75,33.5,80.9333233783349,11.4439634983408,0.829632704173638
"Danskammer 3",23590,Steam Turbine,Natural Gas,G,147.1,147,8.8,0.85,8.5,25.5,51,152.736870497001,8.50667015374301,0.950638917669674
"Danskammer 4",23591,Steam Turbine,Natural Gas,G,239.4,243,18.6,1.46666666666667,14.6666666666667,44,88,197.182342641958,7.63648122238544,0.97498893792232
"Bowline 2",23595,Steam Turbine,Natural Gas,G,621,593,115,4.45833333333333,44.5833333333333,133.75,267.5,300.811246980746,9.99922791197259,0.993940720773085
"Oswego 5",23606,Steam Turbine,Fuel Oil,C,901.8,866,73.6,3.70833333333333,37.0833333333333,111.25,222.5,699.248892486524,8.90237975880681,0.985109881153497
"Oswego 6",23613,Steam Turbine,Fuel Oil,C,901.8,862,76.6,4.025,40.25,120.75,241.5,604.669598952894,8.93024576241426,0.997966435677547
"Port Jefferson 4",23616,Steam Turbine,Fuel Oil,K,188,204,45,1.46666666666667,14.6666666666667,44,88,150.148379237222,9.70884155187178,0.991870973323609
"Northport 4",23650,Steam Turbine,Natural Gas,K,387,413,110,2.96666666666667,29.6666666666667,89,178,210.256743090639,9.31589619113782,0.989092376817687
"Athens 1",23668,Combined Cycle,Natural Gas,F,441,390,277,2.25833333333333,22.5833333333333,67.75,135.5,153.908657704251,6.33854650818528,0.976768068947119
"Athens 2",23670,Combined Cycle,Natural Gas,F,441,378,274,1.89166666666667,18.9166666666667,56.75,113.5,92.5248565030009,6.57502527497323,0.9705515042746
"Athens 3",23677,Combined Cycle,Natural Gas,F,441,392,281,2.19166666666667,21.9166666666667,65.75,131.5,-11.9912828638511,7.11849986937086,0.970188234320941
"Glenwood GT 02",23688,Combustion Turbine,Fuel Oil,K,55,64,7,0.658333333333333,6.58333333333333,19.75,39.5,13.9879530436974,13.7597351506095,0.973284685924336
"Glenwood GT 03",23689,Combustion Turbine,Fuel Oil,K,55,64,7.9,0.708333333333333,7.08333333333333,21.25,42.5,8.91809277649299,14.2199632703034,0.980120663633208
"Holtsville 01",23690,Jet Engine,Fuel Oil,K,56.7,17,1.9,0.258333333333333,2.58333333333333,7.75,15.5,2.31428394388541,17.1912531601646,0.993114485514331
"Holtsville 02",23691,Jet Engine,Fuel Oil,K,56.7,17,1.8,0.258333333333333,2.58333333333333,7.75,15.5,2.45746666320085,17.1795742247407,0.992932313679729
"Holtsville 04",23693,Jet Engine,Fuel Oil,K,56.7,15,1,0.225,2.25,6.75,13.5,0.72139632146764,17.1614894729338,0.998587963709112
"Holtsville 05",23694,Jet Engine,Fuel Oil,K,56.7,16,2,0.233333333333333,2.33333333333333,7,14,1.80494661327996,17.223693137582,0.970124277938349
"Holtsville 06",23695,Jet Engine,Fuel Oil,K,56.7,16,2,0.233333333333333,2.33333333333333,7,14,1.80494661327996,17.223693137582,0.970124277938349
"Holtsville 07",23696,Jet Engine,Fuel Oil,K,56.7,16,1,0.216666666666667,2.16666666666667,6.5,13,-1.20926590691768,18.0187308952393,0.97282033080278
"Holtsville 08",23697,Jet Engine,Fuel Oil,K,56.7,16,1,0.216666666666667,2.16666666666667,6.5,13,-1.25614574475043,18.0227644403742,0.972073425024008
"Holtsville 09",23698,Jet Engine,Fuel Oil,K,56.7,15,1,0.216666666666667,2.16666666666667,6.5,13,-0.244622569491238,17.4689538521412,0.976411299896168
"Holtsville 10",23699,Jet Engine,Fuel Oil,K,56.7,15,1,0.216666666666667,2.16666666666667,6.5,13,-0.244622569491238,17.4689538521412,0.976411299896168
