NYISOName,PTID,UnitType,FuelType,Zone,NamePlateRatingMW,maxPower,minPower,maxRampAgc,maxRamp10,maxRamp30,maxRamp60,HeatRateLM_1,HeatRateLM_2,HeatRateLMR2
"Arthur Kill ST 2",23512,Steam Turbine,Natural Gas,J,376.2,349,96,2.85,28.5,85.5,171,251.263112851403,8.65412318896438,0.996140559594236
"Arthur Kill ST 3",23513,Steam Turbine,Natural Gas,J,535.5,539,1,3.10833333333333,31.0833333333333,93.25,186.5,383.996016265124,8.68808340821397,0.985478146327669
"Brooklyn Navy Yard",23515,Combined Cycle,Natural Gas,J,322,240,115,1.59166666666667,15.9166666666667,47.75,95.5,223.80789252022,10.2874648274776,0.964558236894403
"Astoria 3",23516,Steam Turbine,Fuel Oil,J,376,756,162,6.03333333333333,60.3333333333333,181,362,251.915458139702,4.50463614191795,0.997412659812148
"Astoria 5",23518,Steam Turbine,Fuel Oil,J,387,776,164,6.46666666666667,64.6666666666667,194,388,273.336491925867,4.39443257111512,0.984962915855474
"Wading River 1",23522,Combustion Turbine,Fuel Oil,K,79.5,102,11.5,1.18333333333333,11.8333333333333,35.5,71,15.9554796599624,12.4970665511006,0.94721818715491
"Bowline 1",23526,Steam Turbine,Natural Gas,G,621,621,96,5.24166666666667,52.4166666666667,157.25,314.5,691.513147285294,8.28272077104178,0.987207375408792
"Ravenswood ST 01",23533,Steam Turbine,Fuel Oil,J,400,380,2,2.75,27.5,82.5,165,230.515439739464,8.94948519698996,0.989740523767275
"Ravenswood ST 02",23534,Steam Turbine,Fuel Oil,J,400,1000,4,7.85,78.5,235.5,471,584.337761334885,9.05976096861761,0.992012646396131
"Ravenswood ST 03",23535,Steam Turbine,Fuel Oil,J,1027,392,83,2.78333333333333,27.8333333333333,83.5,167,217.576147923814,8.97826700020151,0.996071681416528
"Somerset",23543,Steam Turbine,Coal,A,655.1,731,173,5.39166666666667,53.9166666666667,161.75,323.5,611.199720914661,7.56411789056167,0.993882016742659
"Barrett ST 01",23545,Steam Turbine,Natural Gas,K,188,209,63,1.49166666666667,14.9166666666667,44.75,89.5,74.3029337813657,10.0009836402258,0.996203132148456
"Barrett ST 02",23546,Steam Turbine,Natural Gas,K,188,201,63,1.425,14.25,42.75,85.5,52.3427653810606,9.83078695818046,0.994618454052855
"Northport 1",23551,Steam Turbine,Natural Gas,K,387,410,109,2.91666666666667,29.1666666666667,87.5,175,171.423992136943,9.3157347852163,0.994754920484924
"Northport 2",23552,Steam Turbine,Natural Gas,K,387,410,111,2.575,25.75,77.25,154.5,195.890562876352,9.75755653210778,0.992850522669432
"Northport 3",23553,Steam Turbine,Natural Gas,K,387,411,110,2.575,25.75,77.25,154.5,174.941110463539,9.329919909501,0.996312604784078
"Port Jefferson 3",23555,Steam Turbine,Fuel Oil,K,188,201,46,1.425,14.25,42.75,85.5,63.9595189647331,9.63740737306526,0.864469335485952
"Greenidge 4",23583,Steam Turbine,Natural Gas,C,112.5,113,36,0.875,8.75,26.25,52.5,43.4925453477212,10.2988277447516,0.905179582473891
"Cayuga 1",23584,Steam Turbine,Coal,C,155.3,166,60,1.175,11.75,35.25,70.5,112.210668243682,9.30821100550101,0.994831412020421
"Roseton 1",23587,Steam Turbine,Fuel Oil,G,621,622,88.2,3.88333333333333,38.8333333333333,116.5,233,316.229631154472,9.10162993480172,0.994366983273887
"Roseton 2",23588,Steam Turbine,Fuel Oil,G,621,635,82.9,4.19166666666667,41.9166666666667,125.75,251.5,451.988313907379,8.41761694282941,0.938957493179097
"Danskammer 3",23590,Steam Turbine,Natural Gas,G,147.1,147,8.8,0.85,8.5,25.5,51,152.736870497001,8.50667015374301,0.950638917669674
"Danskammer 4",23591,Steam Turbine,Natural Gas,G,239.4,243,18.6,1.46666666666667,14.6666666666667,44,88,197.182342641958,7.63648122238544,0.97498893792232
"Bowline 2",23595,Steam Turbine,Natural Gas,G,621,593,115,4.45833333333333,44.5833333333333,133.75,267.5,300.811246980746,9.99922791197259,0.993940720773085
"Oswego 5",23606,Steam Turbine,Fuel Oil,C,901.8,866,73.6,3.70833333333333,37.0833333333333,111.25,222.5,699.248892486524,8.90237975880681,0.985109881153497
"Oswego 6",23613,Steam Turbine,Fuel Oil,C,901.8,862,76.6,4.025,40.25,120.75,241.5,604.669598952894,8.93024576241426,0.997966435677547
"Port Jefferson 4",23616,Steam Turbine,Fuel Oil,K,188,204,45,1.46666666666667,14.6666666666667,44,88,150.148379237222,9.70884155187178,0.991870973323609
"Northport 4",23650,Steam Turbine,Natural Gas,K,387,413,110,2.96666666666667,29.6666666666667,89,178,210.256743090639,9.31589619113782,0.989092376817687
"Athens 1",23668,Combined Cycle,Natural Gas,F,441,390,277,2.25833333333333,22.5833333333333,67.75,135.5,153.908657704251,6.33854650818528,0.976768068947119
"Athens 2",23670,Combined Cycle,Natural Gas,F,441,378,274,1.89166666666667,18.9166666666667,56.75,113.5,92.5248565030009,6.57502527497323,0.9705515042746
"Athens 3",23677,Combined Cycle,Natural Gas,F,441,392,281,2.19166666666667,21.9166666666667,65.75,131.5,-11.9912828638511,7.11849986937086,0.970188234320941
"Lockport",23791,Combined Cycle,Natural Gas,A,221.3,153,28,1.05,10.5,31.5,63,-26.3995315578936,12.939909228031,0.913462435219589
"Saranac Energy",23793,Combined Cycle,Natural Gas,D,285.6,268,45,1.85,18.5,55.5,111,91.4924584562934,8.09133502868879,0.972110866799635
"Flynn",23794,Combined Cycle,Natural Gas,K,170,111,57,0.683333333333333,6.83333333333333,20.5,41,295.699208665303,8.96708044049024,0.988700835084998
"Selkirk-II",23799,Combined Cycle,Natural Gas,F,338.8,304,75,2.25833333333333,22.5833333333333,67.75,135.5,157.015749909065,7.47891921192365,0.976606495904094
"Independence",23970,Combined Cycle,Natural Gas,C,1254,1218,209,9.36666666666667,93.6666666666667,281,562,71.8285950198123,6.78150130759422,0.970263238106163
"Syracuse",23985,Combined Cycle,Natural Gas,C,102.7,102,24.9,0.575,5.75,17.25,34.5,106.108280933738,6.25732663718331,0.935328758704854
"Astoria 2",24149,Steam Turbine,Natural Gas,J,180,153,1,0.808333333333333,8.08333333333333,24.25,48.5,149.850830935874,10.6959397211921,0.987115478308483
"East River 1",323558,Combined Cycle,Natural Gas,J,185,223,97,1.44166666666667,14.4166666666667,43.25,86.5,421.588969443808,7.8445356733122,0.993617566113084
"East River 2",323559,Combined Cycle,Natural Gas,J,185,227,86,2.01666666666667,20.1666666666667,60.5,121,439.309163181529,7.69606645094394,0.981509487155449
"Astoria CC 1",323568,Combined Cycle,Natural Gas,J,288,318,134,2.40833333333333,24.0833333333333,72.25,144.5,389.993639590844,5.08025596181705,0.943299055721237
"Astoria CC 2",323569,Combined Cycle,Natural Gas,J,288,320,137,2.26666666666667,22.6666666666667,68,136,352.107584273198,5.22187862114089,0.900642568169025
"Bethlehem Energy Center",323570,Combined Cycle,Natural Gas,F,893.1,618,124,6,60,180,360,272.953923952543,9.73967177329591,0.974360476759132
"Astoria East Energy - CC1",323581,Combined Cycle,Natural Gas,J,320,313,169,2.825,28.25,84.75,169.5,234.693432571904,5.83873582331598,0.93268654902002
"Caithness_CC_1",323624,Combined Cycle,Natural Gas,K,375,373,252,1.65,16.5,49.5,99,-55.8488345958696,6.82730750104751,0.951265426749756
"EMPIRE_CC_1",323656,Combined Cycle,Natural Gas,F,335,327,165,2.63333333333333,26.3333333333333,79,158,92.6817543874588,6.74233072058273,0.970108960412602
"EMPIRE_CC_2",323658,Combined Cycle,Natural Gas,F,335,327,164,2.46666666666667,24.6666666666667,74,148,105.232581304045,6.64023321520404,0.974315218027916
